EVTOPTA_CLRE_032;The Second Rome rises on the Pacific.;;;;;;;;;;;;;x

#Customizable Localization
GetLaurelWreath;Laureal Wreath;;;;;;;;;;;;;x
GetAquila;Aquila;;;;;;;;;;;;;x
GetSPQR;SPQR;;;;;;;;;;;;;x
GetLegion;Caesar's Legion;;;;;;;;;;;;;x
GetEmpire;Roman Empire;;;;;;;;;;;;;x
GetRepublic;Roman Republic;;;;;;;;;;;;;x

#Realm fall events

#Britain
EVTTITLE_CLRFE.2;The Fall of Britannia;;;;;;;;;;;;;x
EVTDESCA_CLRFE.2;In antediluvian times, Divine Caesar, having conquered Gaul, crossed the Strait of Dover in order to conquer Britain. In a great battle, Divine Caesar defeated Queen Boudicca and since then Britain has been under the rule of Rome. But when Rome fell, the British, rejecting Pax Romana, became proud and proclaimed their own empire, worshiping their Queen as a deity. The arrogant islanders conquered and enslaved entire continents, and at one time proclaimed themselves "The Empire over which the sun does not set", but now London is on fire, for, after many centuries, Rome have finally returned to the British Isles. Divine Caesar has once again defeated the Queen, and Aquila banners now flutter over the ancient tower of Big Ben.;;;;;;;;;;;;x 
EVTDESCB_CLRFE.2;In antediluvian times, Divine Caesar, having conquered Gaul, crossed the Strait of Dover in order to conquer Britain. In a great battle, Divine Caesar defeated Queen Boudicca and since then Britain has been under the rule of Rome. But when Rome fell, the British, rejecting Pax Romana, became proud and proclaimed their own empire, worshiping their Queen as a deity. The arrogant islanders conquered and enslaved entire continents, and at one time proclaimed themselves "The Empire over which the sun does not set", but now London is on fire, for, after many centuries, Rome have finally returned to the British Isles. Divine Caesar has once again defeated the Queen, and banners with symbols of Senate end the Peoples of Rome now flutter over the ancient tower of Big Ben.;;;;;;;;;;;;x   
EVTOPTA_CLRFE.2;Worrysome.;;;;;;;;;;;;;x
EVTOPTB_CLRFE.2;Their "Queen" can't save them now.;;;;;;;;;;;;;x

#Bhutan
EVTTITLE_CLRFE.3;The Fall of Thunder Dragon Empire;;;;;;;;;;;;;x
EVTDESCA_CLRFE.3;For centuries, Bhutan, the Thunder Dragon Empire, stood firm in the Himalayan mountains. A sleeping giant awaiting awakening, a great empire possessing the wonders of a long forgotten era... But now Bhutan is in ruins, as its supposedly indestructible armies were destroyed by the countless legions of Rome. Roman officials are already sorting, packing and sending caravans laden with trophies, found in the undeground cities, to the capital, and the administrators appointed here are already finalizing the official annexation of the new province of Butania to the Empire.;;;;;;;;;;;;x 
EVTDESCB_CLRFE.3;For centuries, Bhutan, the Thunder Dragon Empire, stood firm in the Himalayan mountains. A sleeping giant awaiting awakening, a great empire possessing the wonders of a long forgotten era... But now Bhutan is in ruins, as its supposedly indestructible armies were destroyed by the countless legions of Rome. Roman officials are already sorting, packing and sending caravans laden with trophies, found in the undeground cities, to the capital, and the administrators appointed here are already finalizing the official annexation of the new province of Butania to the Republic.;;;;;;;;;;;;x   
EVTOPTA_CLRFE.3;Good riddance to those arrogant Bhutanese.;;;;;;;;;;;;;x
EVTOPTB_CLRFE.3;The Aquila is stronger than the Dragon.;;;;;;;;;;;;;x

#Numenor
EVTTITLE_CLRFE.4;The Fall of Numenor;;;;;;;;;;;;;x
EVTDESCA_CLRFE.4;The Kingdom of Numenor, founded by novelists, has a rich and long history according to them. Founded by King Isildur, it lasted for several centuries before falling to the onslaught of the British and Catholics. But Numenor soon recovered, like the phoenix bird from the novels' books... only to fall again before the unstoppable force of the revived Roman Empire. Torn from the remains of the Eiffel Tower, banners with a White Tree now burn on the ground, while banners with Aquila now flutter over the city of Paris below - or Lutetia, as the Romans call it now.;;;;;;;;;;;;x 
EVTDESCB_CLRFE.4;The Kingdom of Numenor, founded by novelists, has a rich and long history according to them. Founded by King Isildur, it lasted for several centuries before falling to the onslaught of the British and Catholics. But Numenor soon recovered, like the phoenix bird from the novels' books... only to fall again before the unstoppable force of the revived Roman Republic. Torn from the remains of the Eiffel Tower, banners with a white tree now burn on the ground, while banners with symbols of Senate end the Peoples of Rome now flutter over the city of Paris below - or Lutetia, as the Romans call it now.;;;;;;;;;;;;x  
EVTOPTA_CLRFE.4;I doubt that Numenor will be restored any time soon.;;;;;;;;;;;;;x
EVTOPTB_CLRFE.4;This kingdom simply shouldn't exist.;;;;;;;;;;;;;x

#Macedonia
EVTTITLE_CLRFE.5;The Fall of Makedon;;;;;;;;;;;;;x
EVTDESCA_CLRFE.5;In time immemorial, Great Alexander Anaxorgos conquered most of the world and founded the great Macedonian Empire. But soon Macedonia collapsed, and its fragments were conquered by Rome and the Divine Caesar. But the scholars wondered many times - who would have won if Macedonia and Rome had fought at peak of their powers? Many years after these antediluvian times, the answer was finally received, for the Macedonian phalanx fell under the onslaught of the Roman legionaries. The lands of ancient Hellas once again belong to the Roman Empire, and the superiority of the Divine Caesar over Alexander Anaxorgos is now undeniable.;;;;;;;;;;;;x 
EVTDESCB_CLRFE.5;In time immemorial, Great Alexander Anaxorgos conquered most of the world and founded the great Macedonian Empire. But soon Macedonia collapsed, and its fragments were conquered by Rome and the Divine Caesar. But the scholars wondered many times - who would have won if Macedonia and Rome had fought at peak of their powers? Many years after these antediluvian times, the answer was finally received, for the Macedonian phalanx fell under the onslaught of the Roman legionaries. The lands of ancient Hellas once again belong to the Roman Republic, and the superiority of the Divine Caesar over Alexander Anaxorgos is now undeniable.;;;;;;;;;;;;x  
EVTOPTA_CLRFE.5;The history repeat itself, but in unusual ways.;;;;;;;;;;;;;x
EVTOPTB_CLRFE.5;The history repeat itself, but in unusual ways.;;;;;;;;;;;;;x

#Transnistria
EVTTITLE_CLRFE.6;The Fall of Pretender;;;;;;;;;;;;;x
EVTDESCA_CLRFE.6;Red banners with Aquila now flutter over the Imperial Palace of Peresechen, for the Transnistrian Empire have finally fell under the onslaught of Roman Empire. Many scholars had the courage to assert that Transnistria is the heir to the fallen Third Roman Empire, and therefore has the right to be called the Fourth Rome, but the legioners of the revived Roman Empire believe otherwise. Those defenders of Palace who had survived the assault were crucified on the banks of Danube, for the True Heir of Rome will not tolerate the pretenders.;;;;;;;;;;;;x 
EVTDESCB_CLRFE.6;Red banners with symbols of Senate and Peoples of Rome now flutter over the Imperial Palace of Peresechen, for the Transnistrian Empire have finally fell under the onslaught of Roman Republic. Many scholars had the courage to assert that Transnistria is the heir to the fallen Third Roman Empire, and therefore has the right to be called the Fourth Rome, but the legioners of the revived Roman Republic believe otherwise. Those defenders of Palace who had survived the assault were crucified on the banks of Danube, for the True Heir of Rome will not tolerate the pretenders.;;;;;;;;;;;;x  
EVTOPTA_CLRFE.6;Horrible!;;;;;;;;;;;;;x
EVTOPTB_CLRFE.6;The right to be called Rome must be earned.;;;;;;;;;;;;;x

#Yugoslavia
EVTTITLE_CLRFE.7;The Fall of Yugoslavia;;;;;;;;;;;;;x
EVTDESCA_CLRFE.7;Red banners with Aquila now flutter over the Fortress of Belgrade, for the Empire of Yugoslavia have finally fell under the onslaught of Roman Empire. All hopes of the south slavs for the united and independent Balkans were dashed when the last warriors of Yugoslavia, who had survived the assault, were crucified in Kalemegdan Park. There will be no more Yugoslavia. Only the Roman provinces of Dacia and Dalmatia.;;;;;;;;;;;;x 
EVTDESCB_CLRFE.7;Red banners with Aquila now flutter over the Fortress of Belgrade, for the Empire of Yugoslavia have finally fell under the onslaught of Roman Republic. All hopes of the south slavs for the united and independent Balkans were dashed when the last warriors of Yugoslavia, who had survived the assault, were crucified in Kalemegdan Park. There will be no more Yugoslavia. Only the Roman provinces of Dacia and Dalmatia.;;;;;;;;;;;;x  
EVTOPTA_CLRFE.7;Horrible!;;;;;;;;;;;;;x
EVTOPTB_CLRFE.7;Sit transit gloria mundi.;;;;;;;;;;;;;x
#German Confederation
EVTTITLE_CLRFE.8;The Revenge for Teutoburg;;;;;;;;;;;;;x
EVTDESCA_CLRFE.8;Long ago, in antediluvian times, a confederation of ancient Germanic tribes led by God Arminius defeated the Legions of Roman Empire. Thousands of years later, the German Confederation might well have defeated the legions of a reborn Roman Empire - but it failed. The few who survived the defeat of the armies of the German Confederation were taken into slavery or crucified in the Teutoburg Forest, as a symbolic revenge for the ancient defeat.;;;;;;;;;;;;x 
EVTDESCB_CLRFE.8;Long ago, in antediluvian times, a confederation of ancient Germanic tribes led by God Arminius defeated the Legions of Roman Empire. Thousands of years later, the German Confederation might well have defeated the legions of a reborn Roman Republic - but it failed. The few who survived the defeat of the armies of the German Confederation were taken into slavery or crucified in the Teutoburg Forest, as a symbolic revenge for the ancient defeat.;;;;;;;;;;;;x 
EVTOPTA_CLRFE.8;Horrible!;;;;;;;;;;;;;x
EVTOPTB_CLRFE.8;We have avenged the legions of Varus!;;;;;;;;;;;;;x

#American Colonies
EVTTITLE_CLRFE.9;The Fall of the Bald Eagle;;;;;;;;;;;;;x
EVTDESCA_CLRFE.9;The few surviving soldiers of the American colonial government embarked on the remaining ships in a stampede to their homeland, for the American colonies in Europe were crushed by the unstoppable juggernaut of the Roman Empire. The few surviving colonists who were not massacred by the Roman advance were enslaved or crucified on crosses on the Atlantic coast as a grim warning to all those who dare to challenge Rome. Roman magistres militum and legates are already studying trophy maps and ships, planning the possible expedition to the overseas west.;;;;;;;;;;;;x 
EVTDESCB_CLRFE.9;The few surviving soldiers of the American colonial government embarked on the remaining ships in a stampede to their homeland, for the American colonies in Europe were crushed by the unstoppable juggernaut of the Roman Republic. The few surviving colonists who were not massacred by the Roman advance were enslaved or crucified on crosses on the Atlantic coast as a grim warning to all those who dare to challenge Rome. Roman magistres militum and legates are already studying trophy maps and ships, planning the possible expedition to the overseas west.;;;;;;;;;;;;x 
EVTOPTA_CLRFE.9;Good Riddance!;;;;;;;;;;;;;x
EVTOPTB_CLRFE.9;One day, we will come to them, and Roman Aquila will fly over America.;;;;;;;;;;;;;x

#Petropolis
EVTTITLE_CLRFE.10;The Fall of Pietrograd;;;;;;;;;;;;;x
EVTDESCA_CLRFE.10;Red banners with Aquila flutter over the Winter Palace, for the Pietrograd Republic have finally fell under the onslaught of Roman Empire. All hopes of the Pietrograd people for the restoration of Great Russia were dashed when the last defenders of the city, who had survived the assault, were crucified on Senate Square. There will be no more democracy in these lands, only the iron dictatorship of the Roman Empire.;;;;;;;;;;;;x 
EVTDESCB_CLRFE.10;Red banners with Aquila flutter over the Winter Palace, for the Pietrograd Republic have finally fell under the onslaught of Roman Republic. All hopes of the Pietrograd people for the restoration of Great Russia were dashed when the last defenders of the city, who had survived the assault, were crucified on Senate Square. There will be no more democracy in these lands, only the iron dictatorship of the Roman Republic.;;;;;;;;;;;;x 
EVTOPTA_CLRFE.10;Horrible!;;;;;;;;;;;;;x
EVTOPTB_CLRFE.10;It's a Hegelian dialectic, not personal animosity.;;;;;;;;;;;;;x

#Caesar Reborn trait
EVTTITLE_CCRE.3;The Incarnation of Caesar;;;;;;;;;;;;;x
EVTDESC_CCRE.3;My reign has been going on for many years, and during this time my subjects began to express the idea that I was not an ordinary person. Under my careful leadership, the Empire flourishes, the fame of me and my deeds spreads far beyond the borders of the state. Increasingly, the citizens of the Empire begin to say that I am the Caesar Reborn.;;;;;;;;;;;;;x  
CCREOA.3;The blood of God is coursing through my veins!;;;;;;;;;;;;;x
EVTDESC_CCRE.4;Hail, Caesar! \n\nThe omens received by the Collegium Pontificum are clear. You are the reincarnation of Divine Caesar. May your reign last long and bring prosperity to your Empire.;;;;;;;;;;;;;x 
EVTTITLE_CCRE.5;The Return of the Caesar;;;;;;;;;;;;;x
EVTDESC_CCRE.5;A great celebrations are taking place in [Root.GetFullBaseName] as [Root.GetTitledName] was proclaimed as the new reincarnation of the Divine Caesar. The devout Caesarians are exalted by the fact that their lord have returned to them once again to lead his Empire into a new, better future.;;;;;;;;;;;;;x 
CCREOA.5;Ave me!;;;;;;;;;;;;;x
CCREOB.5;Ave Caesar!;;;;;;;;;;;;;x
CCREOC.5;Preposterous.;;;;;;;;;;;;;x
